Year,Volume,Issue,Title,Author(s),Author Title,,Notes
1925,1,1,"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN. PART I.","Karl Pearson;
Margaret Moul",,,*Removed a handful of German titles. (currently 3)
1925,1,2,"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN. PART II.","Karl Pearson;
Margaret Moul",,,*Considering putting academic titles in a separate column so it's easier to discern different authors.
1925,1,2,A PEDIGREE OF EPICANTHUS AND PTOSIS.,C. H. Usher,M.B.,,"*I didn't differentiate by issue as I thought year and volume were enough, but I can change that"
1925,1,2,"ON THE RELATIVE VALUE OF THE FACTORS WHICH INFLUENCE INFANT WELFARE … BASED ON DATA PROVIDED BY DR A. G. ANDERSON, (M.O.H. ROCHDALE), DR WM. ARNOLD EVANS, (M.O.H. BRADFORD), DR ALFRED GREENWOOD, (M.O.H. BLACKBURN), DR H. O. PILKINGTON, (M.O.H. PRESTON) AND DR C. H. TATTERSALL, (M.O.H. SALFORD)",Ethel M. Elderton,,,Round 1: 1925-1935 // Round 2: 1936-1945 // Round 3: 1946-1953
1925,1,2,A NOTE ON THE CORRELATION BETWEEN BIRTH- AND DEATH-RATES WITH REFERENCE TO MALTHUS'S INTERPRETATION OF THEIR MOVEMENTS.,Anthony B. Hill,Ph.D.,,Source: https://onlinebooks.library.upenn.edu/webbin/serial?id=annalseugenics
1926,1,3,STUDIES OF PALAEOLITHIC MAN. I. THE CHANCELADE SKULL AND ITS RELATION TO THE MODERN ESKIMO SKULL,G. M. Morant,M.Sc,,
1926,1,4,ON THE RELATIVE VALUE OF THE FACTORS WHICH INFLUENCE INFANT WELFARE. PART II. INFLUENCE OF ENVIRONMENTAL AND PARENTAL FACTORS ON VIABILITY OF THE BABY (CONTINUED),Ethel M. Elderton,,,
1926,1,4,ON OUR PRESENT KNOWLEDGE OF THE RELATIONSHIP OF MIND AND BODY.,Karl Pearson,,,
1926,1,4,ON THE INFLUENCE OF SANATORIUM AND DISPENSARY TREATMENT AND HOUSING CONDITIONS ON PULMONARY TUBERCULOSIS.,"Percy Stocks;
M. Noel Karn","M.D.;
N/A",,
1926,1,4,A PEDIGREE OF PARALYSIS AGITANS.,"Julia Bell;
J. Clarke","N/A;
M.D.",,
1927,2,1-2,THE CONSTITUTIONAL FACTOR IN BREAKDOWN OF THE RESPIRATORY SYSTEM.,Raymond Pearl,,,
1927,2,1-2,THE EVIDENCE OF TRANSMISSION OF HAEMOPHILIA THROUGH THE MALE WITH A NEW HAEMOPHILIC PEDIGREE,B. S. Nisse,M.D.,,
1927,2,1-2,FRESH EVIDENCE ON THE INHERITANCE FACTOR IN TUBERCULOSIS,Percy Stocks,M.D.,,
1927,2,1-2,ON THE CORRELATION BETWEEN PROGNOSIS BASED ON CONDITION OF THE TUBERCULOSIS PATIENT AT ENTRY TO A SANATORIUM AND THE ISSUE,"B. Perott;
Ethel M. Elderton","M.D.;
N/A",,
1927,2,1-2,ON THE GROWTH CURVES OF CERTAIN CHARACTERS IN MAN (MALES),"Henry A. Ruger;
Brenda Stoessiger","Ph.D.;
B.Sc",,
1927,2,1-2,"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN.  PART III.","Karl Pearson;
Margaret Moul",,,
1927,2,3-4,AN ANALYSIS OF THE CONSUMPTION OF TOBACCO AND ALCOHOL IN CASES OF TOBACCO AMBLYOPIA. PART I. GENERAL DISCUSSION.,C. H. Usher,M.B.,,
1927,2,3-4,STUDIES OF PALAEOLITHIC MAN. II. A BIOMETRIC STUDY OF NEANDERTHALOID SKULLS AND OF THEIR RELATIONSHIPS TO MODERN RACIAL TYPES,G. M. Morant,M.Sc,,
1927,2,3-4,ON THE INFLUENCE OF IODINE ADMINISTRATION ON GOITRE INCIDENCE AND PHYSICAL GROWTH IN ADOLESCENT GIRLS,Percy Stocks,"M.D., D.P.H.",,
1927,2,3-4,ON THE RELATION BETWEEN THE PREVALENCE OF THYROID ENLARGEMENT IN CHILDREN AND MORALITY FROM CANCER AND OTHER DISEASES,Percy Stocks,"M.D., D.P.H.",,
1928,3,1-2,"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN.  PART III.","Karl Pearson;
Margaret Moul",,,
1928,3,1-2,RETINIS PIGMENTOSA AND LEBER'S HEREDITARY OPTIC ATROPHY OCCURING IN COUSINS.,Ida C. Mann,"M.B., B.S., F.R.C.S",,
1928,3,1-2,FRESH EVIDENCE ON THE INHERITANCE FACTOR IN TUBERCULOSIS. PART II.,"Percy Stocks;
Mary N. Karn",M.D.,,
