"title","authors","pages","date","article_url","issue_url"
"FOREWORD","","p. 1-4","October 1925","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1925.tb02036.x","https://onlinelibrary.wiley.com/toc/20501439/1925/1/1"
"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN","KARL PEARSON,, MARGARET MOUL,","p. 5-54","October 1925","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1925.tb02037.x","https://onlinelibrary.wiley.com/toc/20501439/1925/1/1"
"PROBLEM OF ALIEN IMMIGRATION","","p. 56-127","October 1925","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1925.tb02038.x","https://onlinelibrary.wiley.com/toc/20501439/1925/1/2"
"A PEDIGREE OF EPICANTHUS AND PTOSIS","C. H. USHER M.B.,","p. 128-138","October 1925","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1925.tb02039.x","https://onlinelibrary.wiley.com/toc/20501439/1925/1/2"
"ON THE RELATIVE VALUE OF THE FACTORS WHICH INFLUENCE INFANT WELFARE. AN INQUIRY by ETHEL M. ELDERTON","Dr A. G. Anderson M.O.H.,, Dr Wm. Arnold Evans M.O.H.,, Dr Alfred Greenwood M.O.H.,, Dr H. O. Pilkington M.O.H.,, Dr C. H. Tattersall M.O.H.,","p. 139-243","October 1925","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1925.tb02040.x","https://onlinelibrary.wiley.com/toc/20501439/1925/1/2"
"A NOTE ON THE CORRELATION BETWEEN BIRTH- AND DEATH-RATES WITH REFERENCE TO MALTHUS'S INTERPRETATION OF THEIR MOVEMENTS","ANTHONY B. HILL B.Sc.,","p. 244-256","October 1925","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1925.tb02041.x","https://onlinelibrary.wiley.com/toc/20501439/1925/1/2"
"STUDIES OF PALAEOLITHIC MAN","G. M. MORANT M.Sc.,","p. 257-276","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02042.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/3"
"ON THE RELATIVE VALUE OP THE FACTORS WHICH INFLUENCE INFANT WELFARE","Dr A. G. Anderson M.O.H.,, Dr Wm. Arnold Evans M.O.H.,, Dr Alfred Greenwood M.O.H.,, Dr H. O. Pilkington M.O.H.,, Dr C. H. Tattersall M.O.H.,","p. 277-381","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02043.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/4"
"ON OUR PRESENT KNOWLEDGE OF THE RELATIONSHIP OF MIND AND BODY","KARL PEARSON F.R.S.,","p. 382-406","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02044.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/4"
"ON THE INFLUENCE OF SANATORIUM AND DISPENSARY TREATMENT AND HOUSING CONDITIONS ON PULMONARY TUBERCULOSIS","PERCY STOCKS M.D., D.P.H.,, M. NOEL KARN,","p. 407-454","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02045.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/4"
"A PEDIGREE OF PARALYSIS AGITANS","JULIA BELL,, Professor A. J. CLARK M.D.,","p. 455-464","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02046.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/4"
"ON THE RELATIVE VALUE OP THE FACTORS WHICH INFLUENCE INFANT WELFARE","Dr A. G. Anderson M.O.H.,, Dr Wm. Arnold Evans M.O.H.,, Dr Alfred Greenwood M.O.H.,, Dr H. O. Pilkington M.O.H.,, Dr C. H. Tattersall M.O.H.,","p. 277-381","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02043.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/4"
"ON OUR PRESENT KNOWLEDGE OF THE RELATIONSHIP OF MIND AND BODY","KARL PEARSON F.R.S.,","p. 382-406","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02044.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/4"
"ON THE INFLUENCE OF SANATORIUM AND DISPENSARY TREATMENT AND HOUSING CONDITIONS ON PULMONARY TUBERCULOSIS","PERCY STOCKS M.D., D.P.H.,, M. NOEL KARN,","p. 407-454","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02045.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/4"
"A PEDIGREE OF PARALYSIS AGITANS","JULIA BELL,, Professor A. J. CLARK M.D.,","p. 455-464","April 1926","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1926.tb02046.x","https://onlinelibrary.wiley.com/toc/20501439/1926/1/4"
"AN ANALYSIS OF THE CONSUMPTION OF TOBACCO AND ALCOHOL IN CASES OF TOBACCO AMBLYOPIA; PART I. GENERAL DISCUSSION","C. H. USHER M.B.,","p. 245-265","October 1927","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1927.tb02053.x","https://onlinelibrary.wiley.com/toc/20501439/1927/2/3-4"
"PART II. DETAILED STATISTICAL DISCUSSION","ETHEL M. ELDERTON,","p. 266-289","October 1927","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1927.tb02054.x","https://onlinelibrary.wiley.com/toc/20501439/1927/2/3-4"
"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN","KARL PEARSON,, MARGARET MOUL,","p. 290-317","October 1927","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1927.tb02055.x","https://onlinelibrary.wiley.com/toc/20501439/1927/2/3-4"
"STUDIES OF PALAEOLITHIC MAN: II. A BIOMETRIC STUDY OF NEANDERTHALOID SKULLS AND OF THEIR RELATIONSHIPS TO MODERN RACIAL TYPES","G. M. MORANT D.Sc.,","p. 318-381","October 1927","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1927.tb02056.x","https://onlinelibrary.wiley.com/toc/20501439/1927/2/3-4"
"ON THE INFLUENCE OF IODINE ADMINISTRATION ON GOITRE INCIDENCE AND PHYSICAL GROWTH IN ADOLESCENT GIRLS","PERCY STOCKS M.D., D.P.H.,","p. 382-394","October 1927","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1927.tb02057.x","https://onlinelibrary.wiley.com/toc/20501439/1927/2/3-4"
"ON THE RELATION BETWEEN THE PREVALENCE OF THYROID ENLARGEMENT IN CHILDREN AND MORTALITY FROM CANCER AND OTHER DISEASES","PERCY STOCKS M.D., D.P.H.,, MARY N. KARN M.A.,","p. 395-404","October 1927","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1927.tb02058.x","https://onlinelibrary.wiley.com/toc/20501439/1927/2/3-4"
"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN","KARL PEARSON,, MARGARET MOUL,","p. 1-76","April 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02059.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/1-2"
"RETINITIS PIGMENTOSA AND LEBER'S HEREDITARY OPTIC ATROPHY OCCURRING IN COUSINS","IDA C. MANN B.S., P.R.C.S.,","p. 77-83","April 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02060.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/1-2"
"FRESH EVIDENCE ON THE INHERITANCE FACTOR IN TUBERCULOSIS","PERCY STOCKS M.D.,, MARY N. KARN M.A.,","p. 84-95","April 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02061.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/1-2"
"ON THE RELATIVE VALUE OF THE FACTORS WHICH INFLUENCE INFANT WELFARE","Dr A. G. Anderson M.O.H.,,, Dr Wm. Arnold Evans M.O.H.,,, Dr Alfred Greenwood M.O.H.,,, Dr H. O. Pilkington M.O.H.,,, Dr C. H. Tattersall M.O.H.,,","p. 96-185","April 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02062.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/1-2"
"INFLUENCE OF AGE AND ENVIRONMENT ON PARENTAL HABITS AND HEALTH. BEING AN APPENDIX TO THE PRECEDING PAPER","E. M. ELDERTON,","p. 186-193","April 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02063.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/1-2"
"INFANT MORTALITY IN THE METROPOLITAN BOROUGHS IN RELATION TO OCCUPATIONS","PERCY STOCKS M.D., D.P.H.,","p. 194-200","April 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02064.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/1-2"
"THE PROBLEM OF ALIEN IMMIGRATION INTO GREAT BRITAIN, ILLUSTRATED BY AN EXAMINATION OF RUSSIAN AND POLISH JEWISH CHILDREN","KARL PEARSON,, MARGARET MOUL,","p. 201-264","October 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02065.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/3-4"
"HEREDITARY BRACHYDACTYLISM AND INTERPHALANGEAL ANKYLOSIS","G. A. M. HALL M.D.,","p. 265-268","October 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02066.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/3-4"
"THE AGE OF ONSET IN HEREDITARY OPTIC ATROPHY","JULIA BELL M.R.C.P.,","p. 269-276","October 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02067.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/3-4"
"ON THE GROWTH CURVES OF CERTAIN CHARACTERS IN WOMEN AND THE INTERRELATIONSHIP OF THESE CHARACTERS","ETHEL M. ELDERTON,, MARGARET MOUL,","p. 277-336","October 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02068.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/3-4"
"STUDIES OF PALAEOLITHIC MAN: III. THE EHODESIAN SKULL AND ITS RELATIONS TO NEANDERTHALOID AND MODERN TYPES","G. M. MORANT D.Sc.,","p. 337-360","October 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02069.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/3-4"
"A STUDY OF THE EPIDEMIOLOGY OF MEASLES","PERCY STOCKS M.D., D.P.H.,","p. 361-398","October 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02070.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/3-4"
"William Bateson, F.R.S., Naturalist. His Essays and Addresses together with a Short Account of his Life, by Beatrice Bateson","E. A. FRASER,","p. 399-400","October 1928","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1928.tb02071.x","https://onlinelibrary.wiley.com/toc/20501439/1928/3/3-4"
"ON A NEW THEORY OF PROGRESSIVE EVOLUTION","KARL PEARSON F.R.S.,","p. 1-40","April 1930","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1930.tb02072.x","https://onlinelibrary.wiley.com/toc/20501439/1930/4/1-2"
"SOME NEW PEDIGREES OF HEREDITARY DISEASE: A. POLYDACTYLISM AND SYNDACTYLISM.: B. BLUE SCLEROTICA AND FRAGILITY OF BONE","JULIA BELL M.A., M.R.C.P.,","p. 41-48","April 1930","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1930.tb02073.x","https://onlinelibrary.wiley.com/toc/20501439/1930/4/1-2"
"A BIOMETRIC INVESTIGATION OF TWINS AND THEIR BROTHERS AND SISTERS","PERCY STOCKS M.D., D.P.H.,","p. 49-108","April 1930","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1930.tb02074.x","https://onlinelibrary.wiley.com/toc/20501439/1930/4/1-2"
"STUDIES OF PALAEOLITHIC MAN","G. M. MORANT D. Sc.,","p. 109-214","April 1930","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1930.tb02075.x","https://onlinelibrary.wiley.com/toc/20501439/1930/4/1-2"
"TWO PEDIGREES OF RETINITIS PIGMENTOSA: I. A PEDIGREE OF RETINITIS PIGMENTOSA","C. H. USHER M.B., B. Chib. (Camb.), F.R.C.S. (Edin).,","p. 215-231","April 1930","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1930.tb02076.x","https://onlinelibrary.wiley.com/toc/20501439/1930/4/1-2"
"NOTE ON THE BLOOD-RELATIONSHIP OF DOUBLE COUSINS","KARL PEARSON P.R.S.,","p. 232","April 1930","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1930.tb02077.x","https://onlinelibrary.wiley.com/toc/20501439/1930/4/1-2"
"THREE FURTHER CASES OF HEREDITARY DIGITAL ANOMALY SEEN IN THE OUT-PATIENT DEPARTMENT OF GREAT ORMOND STREET HOSPITAL FOR SICK CHILDREN","JULIA BELL MA., M.R.C.P.,","p. 233-237","May 1931","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1931.tb02078.x","https://onlinelibrary.wiley.com/toc/20501439/1931/4/3-4"
"HUMAN FERTILITY IN RELATION TO AGES OF HUSBAND AND WIFE AT MARRIAGE AND DURATION OF MARRIAGE","J. H. MÜLLER M. Sc. Stellenbosch, Ph.D.,","p. 238-278","May 1931","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1931.tb02079.x","https://onlinelibrary.wiley.com/toc/20501439/1931/4/3-4"
"AN INQUIRY INTO VARIOUS DEATH-RATES AND THE COMPARATIVE INFLUENCE OF CERTAIN DISEASES ON THE DURATION OF LIFE","M. NOEL KARN M.A.,","p. 279-302","May 1931","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1931.tb02080.x","https://onlinelibrary.wiley.com/toc/20501439/1931/4/3-4"
"PART II. APPLICATION OF THE THEORY DEVELOPED BY MATHEMATICIANS OF THE EIGHTEENTH CENTURY TO MODERN DATA","","p. 303-326","May 1931","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1931.tb02081.x","https://onlinelibrary.wiley.com/toc/20501439/1931/4/3-4"
"A BIOMETRIC STUDY OF THE WEIGHTS OF INFANTS DURING FIRST DAYS OF LIFE","W. J. MARTIN,","p. 327-338","May 1931","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1931.tb02082.x","https://onlinelibrary.wiley.com/toc/20501439/1931/4/3-4"
"ON THE EXISTENCE OF THE DIGITAL DEFORMITY—SO-CALLED “LOBSTER CLAW”—IN THE APES","KARL PEARSON F.R.S.,","p. 339-340","May 1931","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1931.tb02083.x","https://onlinelibrary.wiley.com/toc/20501439/1931/4/3-4"
"THE DISTRIBUTION OF CANCER AND TUBERCULOSIS MORTALITY IN ENGLAND AND WALES","PERCY STOCKS M.D., D.P.H.,","p. 341-361","May 1931","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1931.tb02084.x","https://onlinelibrary.wiley.com/toc/20501439/1931/4/3-4"
"ON THE INHERITANCE OF MENTAL DISEASE","KARL PEARSON F.R.S.,","p. 362-380","May 1931","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1931.tb02085.x","https://onlinelibrary.wiley.com/toc/20501439/1931/4/3-4"
"“Lectures on the Physiology, Zoology and Natural History of Man,” 1822","","p. i-ii","January 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02086.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/1-2"
"A BIOMETRIC INVESTIGATION OF TWINS AND THEIR BROTHERS AND SISTERS","PERCY STOCKS M.D., D.P.H.,","p. 1-55","January 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02087.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/1-2"
"A PEDIGREE SHOWING MENTAL DEFECT IN FOUR GENERATIONS","C. H. USHER M.B., B. Chir. (Camb.).,","p. 56-58","January 1933","https://onlinelibrary.wiley.com/doi/10.1111/j.1469-1809.1933.tb02088.x","https://onlinelibrary.wiley.com/toc/20501439/1933/5/1-2"
